risk_index,iso3,year,rank,overall_score_normed,meaning
idvi,NOR,2022,1,1,least vulnerable
idvi,CAN,2022,2,0.9734,
idvi,FIN,2022,3,0.968274,
idvi,DEU,2022,4,0.96689,
idvi,SWE,2022,5,0.955625,
idvi,DNK,2022,6,0.953641,
idvi,JPN,2022,7,0.92641,
idvi,USA,2022,8,0.924939,
idvi,NLD,2022,9,0.918935,
idvi,NZL,2022,10,0.916279,
idvi,CHE,2022,11,0.915839,
idvi,AUS,2022,12,0.912517,
idvi,ISL,2022,13,0.908112,
idvi,IRL,2022,14,0.90632,
idvi,GBR,2022,15,0.897495,
idvi,PRT,2022,16,0.888782,
idvi,KOR,2022,17,0.879402,
idvi,SGP,2022,18,0.878289,
idvi,LUX,2022,19,0.875694,
idvi,ESP,2022,20,0.875475,
idvi,AUT,2022,21,0.874243,
idvi,BEL,2022,22,0.870933,
idvi,FRA,2022,23,0.855407,
idvi,CZE,2022,24,0.847175,
idvi,ITA,2022,25,0.82169,
idvi,SVK,2022,26,0.808457,
idvi,SVN,2022,27,0.80579,
idvi,CHL,2022,28,0.801129,
idvi,EST,2022,29,0.797443,
idvi,HUN,2022,30,0.795623,
idvi,QAT,2022,31,0.787534,
idvi,POL,2022,32,0.782799,
idvi,ISR,2022,33,0.782439,
idvi,LTU,2022,34,0.771597,
idvi,ARE,2022,35,0.7652,
idvi,LVA,2022,36,0.763937,
idvi,BRN,2022,37,0.762886,
idvi,MYS,2022,38,0.761135,
idvi,MCO,2022,39,0.753737,
idvi,URY,2022,40,0.745957,
idvi,LIE,2022,41,0.737219,
idvi,CRI,2022,42,0.73696,
idvi,SAU,2022,43,0.736844,
idvi,GEO,2022,44,0.735821,
idvi,MEX,2022,45,0.734971,
idvi,GRC,2022,46,0.734145,
idvi,HRV,2022,47,0.719996,
idvi,BRA,2022,48,0.716641,
idvi,THA,2022,49,0.711334,
idvi,TWN,2022,50,0.709691,
idvi,JOR,2022,51,0.707361,
idvi,ARG,2022,52,0.707041,
idvi,ARM,2022,53,0.706912,
idvi,MLT,2022,54,0.706869,
idvi,ZAF,2022,55,0.697292,
idvi,CUB,2022,56,0.69591,
idvi,ATG,2022,57,0.693938,
idvi,KNA,2022,58,0.691572,
idvi,SMR,2022,59,0.687314,
idvi,MKD,2022,60,0.68599,
idvi,BRB,2022,61,0.681515,
idvi,TUR,2022,62,0.677438,
idvi,BGR,2022,63,0.66612,
idvi,CYP,2022,64,0.66563,
idvi,KWT,2022,65,0.664856,
idvi,BHR,2022,66,0.663702,
idvi,CHN,2022,67,0.663535,
idvi,PLW,2022,68,0.65801,
idvi,ROU,2022,69,0.657694,
idvi,BHS,2022,70,0.653653,
idvi,PER,2022,71,0.64567,
idvi,RUS,2022,72,0.639878,
idvi,MDA,2022,73,0.635987,
idvi,MUS,2022,74,0.635763,
idvi,OMN,2022,75,0.633743,
idvi,TON,2022,76,0.630046,
idvi,SYC,2022,77,0.628108,
idvi,ALB,2022,78,0.626259,
idvi,MNG,2022,79,0.626185,
idvi,VNM,2022,80,0.626124,
idvi,AND,2022,81,0.625221,
idvi,UKR,2022,82,0.617343,
idvi,BLR,2022,83,0.616419,
idvi,MNE,2022,84,0.612065,
idvi,TUV,2022,85,0.608741,
idvi,SLV,2022,86,0.607731,
idvi,KAZ,2022,87,0.607098,
idvi,PAN,2022,88,0.606521,
idvi,DMA,2022,89,0.60417,
idvi,XKX,2022,90,0.599085,
idvi,GRD,2022,91,0.597669,
idvi,TTO,2022,92,0.594998,
idvi,COL,2022,93,0.58385,
idvi,WSM,2022,94,0.580679,
idvi,MDV,2022,95,0.576299,
idvi,ECU,2022,96,0.575843,
idvi,LKA,2022,97,0.571001,
idvi,MAR,2022,98,0.569769,
idvi,SRB,2022,99,0.568934,
idvi,IRN,2022,100,0.567841,
idvi,FJI,2022,101,0.567238,
idvi,IDN,2022,102,0.562944,
idvi,KGZ,2022,103,0.555486,
idvi,SUR,2022,104,0.55532,
idvi,GUY,2022,105,0.554987,
idvi,BLZ,2022,106,0.551546,
idvi,AZE,2022,107,0.550328,
idvi,VCT,2022,108,0.549145,
idvi,BWA,2022,109,0.548363,
idvi,LBN,2022,110,0.546332,
idvi,PHL,2022,111,0.544923,
idvi,MHL,2022,112,0.544611,
idvi,PRY,2022,113,0.541167,
idvi,TUN,2022,114,0.535451,
idvi,VEN,2022,115,0.530692,
idvi,EGY,2022,116,0.530405,
idvi,BIH,2022,117,0.523079,
idvi,LCA,2022,118,0.516511,
idvi,UZB,2022,119,0.515492,
idvi,TJK,2022,120,0.507026,
idvi,BOL,2022,121,0.500436,
idvi,JAM,2022,122,0.499783,
idvi,DOM,2022,123,0.499533,
idvi,DZA,2022,124,0.496612,
idvi,IND,2022,125,0.493799,
idvi,LBY,2022,126,0.493272,
idvi,NIC,2022,127,0.492491,
idvi,VUT,2022,128,0.490878,
idvi,NAM,2022,129,0.490478,
idvi,TKM,2022,130,0.486696,
idvi,CPV,2022,131,0.486189,
idvi,GTM,2022,132,0.477179,
idvi,GHA,2022,133,0.462565,
idvi,BTN,2022,134,0.46088,
idvi,PSE,2022,135,0.450415,
idvi,MMR,2022,136,0.448176,
idvi,IRQ,2022,137,0.432182,
idvi,GNQ,2022,138,0.430054,
idvi,FSM,2022,139,0.425305,
idvi,BGD,2022,140,0.422107,
idvi,ZMB,2022,141,0.420459,
idvi,HND,2022,142,0.407296,
idvi,NPL,2022,143,0.404405,
idvi,GAB,2022,144,0.40295,
idvi,SYR,2022,145,0.391337,
idvi,CMR,2022,146,0.38877,
idvi,KIR,2022,147,0.388403,
idvi,KEN,2022,148,0.385436,
idvi,ETH,2022,149,0.382021,
idvi,PRK,2022,150,0.37487,
idvi,SLB,2022,151,0.370311,
idvi,UGA,2022,152,0.36585,
idvi,SWZ,2022,153,0.35847,
idvi,RWA,2022,154,0.3553,
idvi,KHM,2022,155,0.355133,
idvi,LAO,2022,156,0.355111,
idvi,BDI,2022,157,0.354104,
idvi,LSO,2022,158,0.34486,
idvi,TZA,2022,159,0.340445,
idvi,PNG,2022,160,0.339184,
idvi,ZWE,2022,161,0.337478,
idvi,SEN,2022,162,0.329156,
idvi,TLS,2022,163,0.310208,
idvi,PAK,2022,164,0.308544,
idvi,DJI,2022,165,0.297892,
idvi,SDN,2022,166,0.29158,
idvi,MWI,2022,167,0.279987,
idvi,CIV,2022,168,0.270743,
idvi,NGA,2022,169,0.270681,
idvi,COG,2022,170,0.268887,
idvi,MOZ,2022,171,0.262501,
idvi,TGO,2022,172,0.259396,
idvi,ERI,2022,173,0.252978,
idvi,YEM,2022,174,0.250277,
idvi,COM,2022,175,0.238068,
idvi,BFA,2022,176,0.231504,
idvi,SLE,2022,177,0.223397,
idvi,STP,2022,178,0.223256,
idvi,GIN,2022,179,0.213225,
idvi,LBR,2022,180,0.213114,
idvi,GMB,2022,181,0.207809,
idvi,BEN,2022,182,0.206682,
idvi,GNB,2022,183,0.187841,
idvi,MLI,2022,184,0.184254,
idvi,COD,2022,185,0.181762,
idvi,MDG,2022,186,0.170787,
idvi,NER,2022,187,0.166531,
idvi,AFG,2022,188,0.157034,
idvi,HTI,2022,189,0.149471,
idvi,AGO,2022,190,0.148414,
idvi,MRT,2022,191,0.107294,
idvi,SSD,2022,192,0.100836,
idvi,TCD,2022,193,0.09845,
idvi,CAF,2022,194,6.10E-05,
idvi,SOM,2022,195,0,most vulnerable
idvi,ABW,2022,,,No data
idvi,ATF,2022,,,No data
idvi,ASM,2022,,,No data
idvi,COK,2022,,,No data
idvi,FLK,2022,,,No data
idvi,GGY,2022,,,No data
idvi,CUW,2022,,,No data
idvi,CYM,2022,,,No data
idvi,FRO,2022,,,No data
idvi,JEY,2022,,,No data
idvi,IOT,2022,,,No data
idvi,NIU,2022,,,No data
idvi,MAF,2022,,,No data
idvi,SAH,2022,,,No data
idvi,NRU,2022,,,No data
idvi,PYF,2022,,,No data
idvi,WLF,2022,,,No data
idvi,VAT,2022,,,No data
idvi,SXM,2022,,,No data
idvi,VGB,2022,,,No data
