Funder,Recipient,Total value
Zoological Society of London,Mozambique,73258
Zoological Society of London,Philippines,32297
ZOA,Liberia,1026944
ZOA,South Sudan,261855
YWCA of Bangladesh,Bangladesh,467059
Young Africa International HUB,Mozambique,391051
Young Africa International HUB,Zimbabwe,391051
Yemen,World Health Organization (WHO),20000000
Y Care International,Bangladesh,508688
Y Care International,Liberia,544447
Yamaan Foundation for Health and Social Development,Yemen,2502875
Worldwide Hospice Palliative Care Alliance,Bangladesh,386981
World Vision International,Afghanistan,35706
World Vision International,Bangladesh,93184
World Vision International,Democratic Republic of the Congo,1418005
World Vision International,Ethiopia,180733
World Vision International,India,409783
World Vision International,Iraq,112893
World Vision International,Mali,233092
World Vision International,Somalia,29368653
World Vision International,South Sudan,754432
World Vision International,Sudan,1150862
World Vision International,Syrian Arab Republic,1181215
World Vision International,Uganda,339099
World Jewish Relief,Indonesia,66673
World Jewish Relief,Mozambique,57685
World Jewish Relief,Rwanda,88646
World Health Organization (WHO),Afghanistan,97560057
World Health Organization (WHO),Africa,5994986
World Health Organization (WHO),Albania,1649164
World Health Organization (WHO),Algeria,2278863
World Health Organization (WHO),America,345000
World Health Organization (WHO),American Samoa,58297
World Health Organization (WHO),Angola,29546747
World Health Organization (WHO),Antigua and Barbuda,214420
World Health Organization (WHO),Argentina,4553494
World Health Organization (WHO),Armenia,2248861
World Health Organization (WHO),Azerbaijan,3452726
World Health Organization (WHO),Bahamas,1980045
World Health Organization (WHO),Bahrain,522147
World Health Organization (WHO),Bangladesh,33901885
World Health Organization (WHO),Barbados,199823
World Health Organization (WHO),Belarus,2278972
World Health Organization (WHO),Belize,1749876
World Health Organization (WHO),Benin,10315903
World Health Organization (WHO),Bhutan,4927856
World Health Organization (WHO),Bolivia,7643308
World Health Organization (WHO),Bosnia and Herzegovina,2442286
World Health Organization (WHO),Botswana,4409601
World Health Organization (WHO),Brazil,13272560
World Health Organization (WHO),Brunei Darussalam,28819
World Health Organization (WHO),Bulgaria,930702
World Health Organization (WHO),Burkina Faso,18324557
World Health Organization (WHO),Burundi,8642565
World Health Organization (WHO),Cabo Verde,2356923
World Health Organization (WHO),Cambodia,16867532
World Health Organization (WHO),Cameroon,26430794
World Health Organization (WHO),Canada,24838
World Health Organization (WHO),Central African Republic,15727893
World Health Organization (WHO),Chad,28342422
World Health Organization (WHO),Chile,2584339
World Health Organization (WHO),China,14348695
World Health Organization (WHO),Clinton Health Access Initiative,23420260
World Health Organization (WHO),Colombia,6798892
World Health Organization (WHO),Comoros,2891645
World Health Organization (WHO),Congo,8766151
World Health Organization (WHO),Cook Islands,325146
World Health Organization (WHO),Costa Rica,3226207
World Health Organization (WHO),Cote d'Ivoire,14161014
World Health Organization (WHO),Croatia,573245
World Health Organization (WHO),Cuba,2724144
World Health Organization (WHO),Czech Republic,1106551
World Health Organization (WHO),Democratic People's Republic of Korea,5562820
World Health Organization (WHO),Democratic Republic of the Congo,173876555
World Health Organization (WHO),Djibouti,4830284
World Health Organization (WHO),Dominica,448889
World Health Organization (WHO),Dominican Republic,5748313
World Health Organization (WHO),Ecuador,6106038
World Health Organization (WHO),Egypt,6332109
World Health Organization (WHO),El Salvador,3375949
World Health Organization (WHO),Equatorial Guinea,4108822
World Health Organization (WHO),Eritrea,3382661
World Health Organization (WHO),Estonia,481363
World Health Organization (WHO),Eswatini,3651085
World Health Organization (WHO),Ethiopia,67176709
World Health Organization (WHO),Europe,1760000
World Health Organization (WHO),Federated States of Micronesia,1530203
World Health Organization (WHO),Fiji,659305
World Health Organization (WHO),French Polynesia,30599
World Health Organization (WHO),Gabon,7975828
World Health Organization (WHO),Gambia,3176252
World Health Organization (WHO),Georgia,3088849
World Health Organization (WHO),Ghana,20946978
World Health Organization (WHO),Greece,1523183
World Health Organization (WHO),Grenada,354307
World Health Organization (WHO),Guatemala,8620238
World Health Organization (WHO),Guinea,12651997
World Health Organization (WHO),Guinea Bissau,4296175
World Health Organization (WHO),Guyana,4235116
World Health Organization (WHO),Haiti,15480879
World Health Organization (WHO),Honduras,6984174
World Health Organization (WHO),Hungary,1058523
World Health Organization (WHO),India,108771701
World Health Organization (WHO),Indonesia,21138272
World Health Organization (WHO),Iran,4815727
World Health Organization (WHO),Iraq,8159578
World Health Organization (WHO),Israel,1100072
World Health Organization (WHO),Jamaica,4129176
World Health Organization (WHO),Jordan,11996068
World Health Organization (WHO),Kazakhstan,2929618
World Health Organization (WHO),Kenya,20029857
World Health Organization (WHO),Kiribati,1117699
World Health Organization (WHO),Kuwait,722440
World Health Organization (WHO),Kyrgyzstan,7917797
World Health Organization (WHO),Lao People's Democratic Republic,15894062
World Health Organization (WHO),Latvia,960310
World Health Organization (WHO),Lebanon,5028773
World Health Organization (WHO),Lesotho,3930535
World Health Organization (WHO),Liberia,12140237
World Health Organization (WHO),Libya,1674940
World Health Organization (WHO),Lithuania,436844
World Health Organization (WHO),Madagascar,10902559
World Health Organization (WHO),Malawi,9755524
World Health Organization (WHO),Malaysia,2115599
World Health Organization (WHO),Maldives,4059270
World Health Organization (WHO),Mali,16650516
World Health Organization (WHO),Malta,6800
World Health Organization (WHO),Marshall Islands,261794
World Health Organization (WHO),Mauritania,8692040
World Health Organization (WHO),Mauritius,1929327
World Health Organization (WHO),Mexico,7844401
World Health Organization (WHO),Middle East,1217000
World Health Organization (WHO),Mongolia,6396116
World Health Organization (WHO),Montenegro,683087
World Health Organization (WHO),Morocco,4239468
World Health Organization (WHO),Mozambique,20047465
World Health Organization (WHO),Myanmar,27520005
World Health Organization (WHO),Namibia,4416080
World Health Organization (WHO),Nauru,28346
World Health Organization (WHO),Nepal,16475820
World Health Organization (WHO),New Zealand,50810
World Health Organization (WHO),Nicaragua,6955212
World Health Organization (WHO),Niger,20425709
World Health Organization (WHO),Nigeria,201213701
World Health Organization (WHO),Niue,65640
World Health Organization (WHO),North Macedonia,1687322
World Health Organization (WHO),Not reported,1532439708
World Health Organization (WHO),Oman,3023666
World Health Organization (WHO),Pakistan,330882153
World Health Organization (WHO),Palau,105039
World Health Organization (WHO),Palestine,6668364
World Health Organization (WHO),Panama,3240128
World Health Organization (WHO),Pan American Health Organization (PAHO),2015000
World Health Organization (WHO),Papua New Guinea,18502268
World Health Organization (WHO),Paraguay,5289899
World Health Organization (WHO),Peru,7102874
World Health Organization (WHO),Philippines,13167857
World Health Organization (WHO),Poland,999867
World Health Organization (WHO),Qatar,101038
World Health Organization (WHO),Republic of Moldova,3403381
World Health Organization (WHO),Romania,1669070
World Health Organization (WHO),Russian Federation,4400862
World Health Organization (WHO),Rwanda,7945411
World Health Organization (WHO),Saint Kitts and Nevis,341928
World Health Organization (WHO),Saint Lucia,381130
World Health Organization (WHO),Saint Vincent and the Grenadines,425076
World Health Organization (WHO),Samoa,2795614
World Health Organization (WHO),Sao Tome and Principe,2124006
World Health Organization (WHO),Saudi Arabia,2583084
World Health Organization (WHO),Senegal,11189350
World Health Organization (WHO),Serbia,2524641
World Health Organization (WHO),Seychelles,1515628
World Health Organization (WHO),Sierra Leone,17586880
World Health Organization (WHO),Slovakia,935879
World Health Organization (WHO),Slovenia,840324
World Health Organization (WHO),Solomon Islands,7309786
World Health Organization (WHO),Somalia,55360174
World Health Organization (WHO),South Africa,11273353
World Health Organization (WHO),South Sudan,33578522
World Health Organization (WHO),Sri Lanka,6245019
World Health Organization (WHO),Sudan,28248865
World Health Organization (WHO),Suriname,3341836
World Health Organization (WHO),Syrian Arab Republic,8697402
World Health Organization (WHO),Tajikistan,8161950
World Health Organization (WHO),Thailand,8495820
World Health Organization (WHO),Timor-Leste,11443462
World Health Organization (WHO),Togo,7819901
World Health Organization (WHO),Tonga,908279
World Health Organization (WHO),Trinidad and Tobago,3245249
World Health Organization (WHO),Tunisia,2481761
World Health Organization (WHO),Turkey,4443010
World Health Organization (WHO),Turkmenistan,3154500
World Health Organization (WHO),Tuvalu,105271
World Health Organization (WHO),Uganda,22644469
World Health Organization (WHO),Ukraine,12122822
World Health Organization (WHO),United Arab Emirates,19908
World Health Organization (WHO),United Kingdom,4018
World Health Organization (WHO),United Republic of Tanzania,16568883
World Health Organization (WHO),United States of America,31879
World Health Organization (WHO),Uruguay,2222437
World Health Organization (WHO),Uzbekistan,10098561
World Health Organization (WHO),Vanuatu,4034561
World Health Organization (WHO),"Venezuela, Bolivarian Republic of",8066341
World Health Organization (WHO),Viet Nam,12477264
World Health Organization (WHO),World Health Organization (WHO),110718123
World Health Organization (WHO),Yemen,31981501
World Health Organization (WHO),Zambia,14805719
World Health Organization (WHO),Zimbabwe,14155911
World Child Cancer,Ghana,16539
World Child Cancer,Myanmar,440854
World Bank Trust Funds,Angola,3822041
World Bank Trust Funds,Bangladesh,365300748
World Bank Trust Funds,Burundi,9940796
World Bank Trust Funds,Cambodia,43947488
World Bank Trust Funds,Cameroon,2250000
World Bank Trust Funds,Chad,950000
World Bank Trust Funds,Democratic Republic of the Congo,54632070
World Bank Trust Funds,Eswatini,13383911
World Bank Trust Funds,Ethiopia,94078458
World Bank Trust Funds,Ghana,1470686
World Bank Trust Funds,Guinea,4660631
World Bank Trust Funds,Haiti,3079996
World Bank Trust Funds,Indonesia,145200
World Bank Trust Funds,Jordan,24170000
World Bank Trust Funds,Kyrgyzstan,10151184
World Bank Trust Funds,Lao People's Democratic Republic,1625949
World Bank Trust Funds,Lebanon,910328
World Bank Trust Funds,Liberia,3283125
World Bank Trust Funds,Low and middle-income countries (LMIC),5123049
World Bank Trust Funds,Madagascar,5698455
World Bank Trust Funds,Malawi,11402281
World Bank Trust Funds,Mali,2072298
World Bank Trust Funds,Mongolia,229637
World Bank Trust Funds,Mozambique,77486640
World Bank Trust Funds,Nigeria,133600504
World Bank Trust Funds,Not reported,816199
World Bank Trust Funds,Pakistan,137035612
World Bank Trust Funds,Palestine,4409898
World Bank Trust Funds,Republic of Moldova,5945946
World Bank Trust Funds,Saint Lucia,2852355
World Bank Trust Funds,Senegal,19422215
World Bank Trust Funds,Sierra Leone,42010179
World Bank Trust Funds,South Sudan,132445146
World Bank Trust Funds,Sub-Saharan Africa,5656859
World Bank Trust Funds,Sudan,14467701
World Bank Trust Funds,Tajikistan,12334553
World Bank Trust Funds,Togo,3400664
World Bank Trust Funds,Turkey,2330068
World Bank Trust Funds,Uganda,24268
World Bank Trust Funds,Ukraine,450755
World Bank Trust Funds,United Republic of Tanzania,60345294
World Bank Trust Funds,Uzbekistan,230423
World Bank Trust Funds,Viet Nam,5422765
World Bank,Afghanistan,310689069
World Bank,Africa,121196507
World Bank,Albania,35751253
World Bank,Angola,154005957
World Bank,Argentina,709738770
World Bank,Armenia,37296184
World Bank,Azerbaijan,13981294
World Bank,Bahamas,10000000
World Bank,Bangladesh,1112954998
World Bank,Barbados,18753545
World Bank,Belarus,88300437
World Bank,Benin,93287550
World Bank,Bhutan,8632591
World Bank,Bolivia,139731218
World Bank,Bosnia and Herzegovina,42822457
World Bank,Botswana,14565522
World Bank,Brazil,314334623
World Bank,Burkina Faso,211195354
World Bank,Burundi,110967881
World Bank,Cabo Verde,7177016
World Bank,Cambodia,120033470
World Bank,Cameroon,71878681
World Bank,Central African Republic,91997473
World Bank,Chad,50702648
World Bank,Chile,0
World Bank,China,731862044
World Bank,Colombia,278841334
World Bank,Comoros,31618001
World Bank,Congo,54736638
World Bank,Cote d'Ivoire,301070403
World Bank,Croatia,95618400
World Bank,Democratic Republic of the Congo,876404812
World Bank,Djibouti,26491743
World Bank,Dominica,4750000
World Bank,Dominican Republic,68164704
World Bank,Ecuador,163936641
World Bank,Egypt,413194193
World Bank,El Salvador,114328295
World Bank,Eswatini,42751831
World Bank,Ethiopia,278017346
World Bank,Fiji,46837962
World Bank,Gabon,82473032
World Bank,Gambia,52729486
World Bank,Georgia,61756370
World Bank,Ghana,230357962
World Bank,Grenada,3000000
World Bank,Guatemala,7826758
World Bank,Guinea,83830096
World Bank,Guinea Bissau,3893453
World Bank,Guyana,2273852
World Bank,Haiti,112429983
World Bank,Honduras,60727929
World Bank,India,2037579039
World Bank,Indonesia,699605619
World Bank,Iran,136800569
World Bank,Jamaica,20758766
World Bank,Jordan,274614094
World Bank,Kazakhstan,103431560
World Bank,Kenya,207383502
World Bank,Kiribati,514909
World Bank,Kosovo,35822206
World Bank,Kyrgyzstan,52776436
World Bank,Lao People's Democratic Republic,64008115
World Bank,Latin America and the Caribbean,150000000
World Bank,Lebanon,62313737
World Bank,Lesotho,32382582
World Bank,Liberia,25329000
World Bank,Low and middle-income countries (LMIC),5123049
World Bank,Madagascar,103885717
World Bank,Malawi,147255725
World Bank,Maldives,33454355
World Bank,Mali,91931111
World Bank,Marshall Islands,2620477
World Bank,Mauritania,50149791
World Bank,Mongolia,70762774
World Bank,Morocco,228982261
World Bank,Mozambique,271615962
World Bank,Myanmar,101639713
World Bank,Nepal,278217413
World Bank,Nicaragua,139936048
World Bank,Niger,61495950
World Bank,Nigeria,1182059836
World Bank,North Macedonia,31726542
World Bank,Not reported,816199
World Bank,Pakistan,500295579
World Bank,Palestine,4409898
World Bank,Panama,60833338
World Bank,Papua New Guinea,36544145
World Bank,Paraguay,62376769
World Bank,Peru,23893416
World Bank,Philippines,529243893
World Bank,Republic of Moldova,56093707
World Bank,Romania,265903955
World Bank,Rwanda,100049805
World Bank,Saint Lucia,45275438
World Bank,Samoa,5233192
World Bank,Sao Tome and Principe,6228220
World Bank,Senegal,121054508
World Bank,Serbia,60975256
World Bank,Seychelles,3550000
World Bank,Sierra Leone,77095396
World Bank,Solomon Islands,1446546
World Bank,Somalia,13239956
World Bank,South Sudan,309936762
World Bank,Sri Lanka,354532214
World Bank,Sub-Saharan Africa,517609207
World Bank,Sudan,24672197
World Bank,Tajikistan,60770977
World Bank,Togo,63347615
World Bank,Trinidad and Tobago,50000
World Bank,Tunisia,86322047
World Bank,Turkey,181396677
World Bank,Turkmenistan,15005481
World Bank,Tuvalu,3835902
World Bank,Uganda,79696618
World Bank,Ukraine,269621491
World Bank,United Nations (UN),4600000
World Bank,United Republic of Tanzania,110290637
World Bank,Uruguay,20174926
World Bank,Uzbekistan,180082093
World Bank,Viet Nam,253822900
World Bank,West Africa,28410000
World Bank,World Health Organization (WHO),197875226
World Bank,Yemen,815680612
World Bank,Zambia,79486696
Women's Global Network on Reproductive Rights,Philippines,1095940
Women and Children First (UK),Bangladesh,286845
Women and Children First (UK),Malawi,331522
We World - GVC Onlus,Burundi,4361399
Wereldsolidariteit-Solidarité Mondiale (WSM),Bangladesh,41774
Wereldsolidariteit-Solidarité Mondiale (WSM),India,407300
Wereldsolidariteit-Solidarité Mondiale (WSM),Indonesia,292420
Wereldsolidariteit-Solidarité Mondiale (WSM),Nepal,156654
Wereldsolidariteit-Solidarité Mondiale (WSM),Philippines,146210
Wemos Foundation,Ethiopia,950368
Wemos Foundation,Kenya,1378034
Wemos Foundation,Rwanda,1099712
Wemos Foundation,Uganda,1018252
Wemos Foundation,Zambia,1235479
Wellcome Trust,Coalition for Epidemic Preparedness Innovations (CEPI),84975420
Wellcome Trust,Not reported,26094450
Wellcome Trust,World Health Organization (WHO),20489555
Welbodi Partnership,Sierra Leone,521151
War Child International,Afghanistan,259851
War Child International,Central African Republic,231304
War Child International,Democratic Republic of the Congo,390315
War Child International,Iraq,374993
War Child International,Middle East,160900
War Child International,Yemen,200776
Vulcan Inc.,Coalition for Epidemic Preparedness Innovations (CEPI),3500000
Volvo Group,United Nations (UN),1307360
Voluntary Service Overseas (VSO),Bangladesh,1334579
Voluntary Service Overseas (VSO),Cambodia,1334579
Voluntary Service Overseas (VSO),Eswatini,889719
Voluntary Service Overseas (VSO),Ethiopia,1779439
Voluntary Service Overseas (VSO),Ghana,1334579
Voluntary Service Overseas (VSO),Kenya,4329241
Voluntary Service Overseas (VSO),Lesotho,889719
Voluntary Service Overseas (VSO),Malawi,1779439
Voluntary Service Overseas (VSO),Mozambique,1334579
Voluntary Service Overseas (VSO),Myanmar,1779439
Voluntary Service Overseas (VSO),Nepal,1334579
Voluntary Service Overseas (VSO),Nigeria,889719
Voluntary Service Overseas (VSO),Pakistan,1334579
Voluntary Service Overseas (VSO),Philippines,889719
Voluntary Service Overseas (VSO),Rwanda,889719
Voluntary Service Overseas (VSO),Sierra Leone,889719
Voluntary Service Overseas (VSO),South Africa,1779439
Voluntary Service Overseas (VSO),Thailand,889719
Voluntary Service Overseas (VSO),Uganda,1334579
Voluntary Service Overseas (VSO),United Kingdom,14235508
Voluntary Service Overseas (VSO),United Republic of Tanzania,1779439
Voluntary Service Overseas (VSO),Zambia,889719
Voluntary Service Overseas (VSO),Zimbabwe,1038633
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Belgium,887688
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Burundi,168556
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Cambodia,197139
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Cuba,1279744
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Democratic Republic of the Congo,1140119
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Ecuador,402363
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Ethiopia,899715
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Kenya,130390
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Morocco,516495
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Mozambique,202779
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Peru,271145
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Rwanda,492961
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),South Africa,1049934
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Suriname,80653
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Uganda,388583
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),United Republic of Tanzania,975505
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),Viet Nam,275990
Vital Strategies/Resolve to Save Lives,World Health Organization (WHO),3862183
Veolia Environment Foundation,World Health Organization (WHO),112591
"Venezuela, Bolivarian Republic of",United Nations (UN),5000000
Vale International Holdings Gmbh,World Health Organization (WHO),100000
UN Pooled Funds,Congo,4078
UN Pooled Funds,Ghana,2394826
UN Pooled Funds,Guinea,5913880
UN Pooled Funds,Haiti,500014
UN Pooled Funds,Liberia,804731
UN Pooled Funds,Not reported,9727480
UN Pooled Funds,Sierra Leone,7905694
University Putra Malaysia,Malaysia,76873
University Of Liverpool,South Africa,240035
University Of Liverpool,Uganda,257318
University Of Liverpool,United Kingdom,1422930
University of Leeds,Bangladesh,187834
University of Leeds,Ghana,187834
University of Leeds,Nepal,187834
University of Leeds,Nigeria,187834
University of Birmingham,United Kingdom,614035
Universiti Malaya,Malaysia,480457
United States of America,Afghanistan,370934861
United States of America,Albania,2914789
United States of America,Algeria,0
United States of America,America,384781
United States of America,Angola,290065001
United States of America,Antigua and Barbuda,3781
United States of America,Argentina,15000
United States of America,Armenia,10840259
United States of America,Asia,498685
United States of America,Azerbaijan,50609
United States of America,Bahamas,2318211
United States of America,Bangladesh,704320454
United States of America,Barbados,18857887
United States of America,Belize,8452122
United States of America,Benin,172908899
United States of America,Bolivia,2842696
United States of America,Bosnia and Herzegovina,140330
United States of America,Botswana,303687021
United States of America,Brazil,11888279
United States of America,Burkina Faso,206993247
United States of America,Burundi,212063258
United States of America,Cambodia,253988995
United States of America,Cameroon,451644362
United States of America,Caribbean,16432810
United States of America,Central African Republic,30443367
United States of America,Central America,6653344
United States of America,Central Asia,5145684
United States of America,Chad,7639651
United States of America,Chile,15000
United States of America,China,13011885
United States of America,Colombia,21290189
United States of America,Comoros,0
United States of America,Congo,14515755
United States of America,Costa Rica,492640
United States of America,Cote d'Ivoire,649579105
United States of America,Cyprus,759
United States of America,Democratic People's Republic of Korea,25809
United States of America,Democratic Republic of the Congo,1162383079
United States of America,Denmark,184260
United States of America,Djibouti,4676636
United States of America,Dominica,600000
United States of America,Dominican Republic,101923296
United States of America,Eastern Asia,42000
United States of America,Ecuador,17272304
United States of America,Egypt,52890470
United States of America,El Salvador,21341611
United States of America,Estonia,4869
United States of America,Eswatini,422434288
United States of America,Ethiopia,1495509627
United States of America,Federated States of Micronesia,375265
United States of America,Fiji,1675587
United States of America,Gabon,841172
United States of America,Gambia,3569705
United States of America,Georgia,24980818
United States of America,Ghana,395408293
United States of America,Global Alliance for Vaccines and Immunisation (GAVI),2915000000
United States of America,Greece,626535
United States of America,Guatemala,225958833
United States of America,Guinea,310380190
United States of America,Guinea Bissau,15201461
United States of America,Guyana,12229822
United States of America,Haiti,836005442
United States of America,Honduras,85825303
United States of America,India,364451975
United States of America,Indonesia,285772857
United States of America,International Red Cross and Red Crescent Movement,3110549
United States of America,Iraq,63606918
United States of America,Israel,16034847
United States of America,Italy,3680842
United States of America,Jamaica,44124156
United States of America,Japan,4658
United States of America,Johns Hopkins Center for Communication Programs,725000
United States of America,Jordan,268815460
United States of America,Kazakhstan,17527578
United States of America,Kenya,3273397892
United States of America,Kosovo,120415
United States of America,Kyrgyzstan,65585117
United States of America,Lao People's Democratic Republic,108105091
United States of America,Lebanon,19966183
United States of America,Lesotho,490378193
United States of America,Liberia,759622449
United States of America,Libya,4419914
United States of America,Lithuania,5118
United States of America,Low and middle-income countries (LMIC),7864873104
United States of America,Madagascar,337972801
United States of America,Malawi,1212151697
United States of America,Malaysia,5229797
United States of America,Mali,445901380
United States of America,Marshall Islands,3022008
United States of America,Mauritania,1742125
United States of America,Mexico,2187984
United States of America,Middle East,0
United States of America,Mongolia,3219927
United States of America,Montenegro,13646
United States of America,Morocco,728394
United States of America,Mozambique,2466299444
United States of America,Myanmar,170990153
United States of America,Namibia,356949262
United States of America,Nepal,339300233
United States of America,Nicaragua,71488453
United States of America,Niger,82800902
United States of America,Nigeria,3039907757
United States of America,North Macedonia,166395
United States of America,Not reported,12106289454
United States of America,Oman,109154
United States of America,Pakistan,322070966
United States of America,Palau,407682
United States of America,Palestine,38588245
United States of America,Panama,14620643
United States of America,Pan American Health Organization (PAHO),8185836
United States of America,Papua New Guinea,40270855
United States of America,Paraguay,9024998
United States of America,Peru,40266569
United States of America,Philippines,248574794
United States of America,Poland,6346
United States of America,Qatar,71004
United States of America,Republic of Korea,3853
United States of America,Republic of Moldova,4030733
United States of America,Romania,1123388
United States of America,Russian Federation,1692019
United States of America,Rwanda,633566545
United States of America,Samoa,1005199
United States of America,Sao Tome and Principe,0
United States of America,Senegal,429970595
United States of America,Serbia,841092
United States of America,Sierra Leone,276998609
United States of America,Somalia,6358774
United States of America,South Africa,4288247676
United States of America,South Sudan,528706829
United States of America,Sri Lanka,971725
United States of America,Sub-Saharan Africa,12290437
United States of America,Sudan,23240685
United States of America,Suriname,111345
United States of America,Switzerland,204587785
United States of America,Syrian Arab Republic,39411672
United States of America,Tajikistan,61203563
United States of America,Thailand,54448043
United States of America,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",11317317178
United States of America,Timor-Leste,19501904
United States of America,Togo,24644568
United States of America,Trinidad and Tobago,3089074
United States of America,Tunisia,3280506
United States of America,Turkey,352093
United States of America,Turkmenistan,1933176
United States of America,Uganda,2903601770
United States of America,Ukraine,205887747
United States of America,United Arab Emirates,19996
United States of America,United Republic of Tanzania,2981485119
United States of America,Uzbekistan,25345127
United States of America,Vanuatu,6411867
United States of America,"Venezuela, Bolivarian Republic of",10199150
United States of America,Viet Nam,220906182
United States of America,West Africa,408900
United States of America,World Health Organization (WHO),89499603
United States of America,Yemen,34939507
United States of America,Zambia,2472154406
United States of America,Zimbabwe,1177134804
United Purpose,Nigeria,972123
United Nations (UN),Afghanistan,471364705
United Nations (UN),African Regional Industrial Property Organization,101412012
United Nations (UN),Albania,6768865
United Nations (UN),Algeria,3526585
United Nations (UN),American Samoa,17795231
United Nations (UN),Angola,54266649
United Nations (UN),Argentina,25902419
United Nations (UN),Armenia,8525221
United Nations (UN),Azerbaijan,2934195
United Nations (UN),Bahamas,188188
United Nations (UN),Bangladesh,327107981
United Nations (UN),Barbados,1912343
United Nations (UN),Belarus,19695543
United Nations (UN),Belize,2521852
United Nations (UN),Benin,46472676
United Nations (UN),Bhutan,7957149
United Nations (UN),Bolivia,22680248
United Nations (UN),Bosnia and Herzegovina,31926405
United Nations (UN),Botswana,12468820
United Nations (UN),Brazil,29326086
United Nations (UN),Bulgaria,644961
United Nations (UN),Burkina Faso,81462461
United Nations (UN),Burundi,106094984
United Nations (UN),Cabo Verde,2737799
United Nations (UN),Cambodia,50681127
United Nations (UN),Cameroon,224581758
United Nations (UN),Central African Republic,52804066
United Nations (UN),Chad,178362852
United Nations (UN),Chile,379888
United Nations (UN),China,65979934
United Nations (UN),Colombia,17977520
United Nations (UN),Comoros,16362241
United Nations (UN),Congo,22394278
United Nations (UN),Cook Islands,226
United Nations (UN),Costa Rica,5812320
United Nations (UN),Cote d'Ivoire,145318296
United Nations (UN),Croatia,511477
United Nations (UN),Cuba,17081547
United Nations (UN),Democratic People's Republic of Korea,88581932
United Nations (UN),Democratic Republic of the Congo,537424458
United Nations (UN),Djibouti,14510168
United Nations (UN),Dominica,2619550
United Nations (UN),Dominican Republic,23234739
United Nations (UN),Ecuador,21207004
United Nations (UN),Egypt,43365385
United Nations (UN),El Salvador,6629163
United Nations (UN),Equatorial Guinea,8932936
United Nations (UN),Eritrea,33725350
United Nations (UN),Eswatini,20328886
United Nations (UN),Ethiopia,503310921
United Nations (UN),Fiji,28078861
United Nations (UN),France,816397
United Nations (UN),Gabon,7514820
United Nations (UN),Gambia,23488189
United Nations (UN),Georgia,18937981
United Nations (UN),Ghana,57371828
United Nations (UN),Guatemala,76104020
United Nations (UN),Guinea,160090386
United Nations (UN),Guinea Bissau,21095425
United Nations (UN),Guyana,4744508
United Nations (UN),Haiti,77647693
United Nations (UN),Honduras,105056330
United Nations (UN),India,444307404
United Nations (UN),Indonesia,137012269
United Nations (UN),Iran,13681665
United Nations (UN),Iraq,114010817
United Nations (UN),Jamaica,8783768
United Nations (UN),Jordan,140857676
United Nations (UN),Kazakhstan,13143834
United Nations (UN),Kenya,249386321
United Nations (UN),Kiribati,136658
United Nations (UN),Kosovo,33821056
United Nations (UN),Kuwait,267300
United Nations (UN),Kyrgyzstan,18234321
United Nations (UN),Lao People's Democratic Republic,50412017
United Nations (UN),Lebanon,154431702
United Nations (UN),Lesotho,21158032
United Nations (UN),Liberia,160295949
United Nations (UN),Libya,21267643
United Nations (UN),Lithuania,23731195
United Nations (UN),Low and middle-income countries (LMIC),44837993
United Nations (UN),Madagascar,156095686
United Nations (UN),Malawi,144747079
United Nations (UN),Malaysia,627233
United Nations (UN),Maldives,9959593
United Nations (UN),Mali,195480337
United Nations (UN),Marshall Islands,2056383
United Nations (UN),Mauritania,34179352
United Nations (UN),Mauritius,787213
United Nations (UN),Mexico,1430132089
United Nations (UN),Middle East,14781418
United Nations (UN),Mongolia,49493379
United Nations (UN),Montenegro,603757
United Nations (UN),Morocco,6484750
United Nations (UN),Mozambique,100142941
United Nations (UN),Myanmar,610439232
United Nations (UN),Namibia,20700034
United Nations (UN),Nauru,1000000
